label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12
1	-621 mph	-0.8895	Bakersfield	Riverside	-0.994	1140	2317	Electrical Engineering, Data Science, Computer Game Design	-529 kg	-324	335	-1.057	1795 kg
4	185 mph	1.1071	Anaheim	San Diego	1.0154	373	-434	Robotics Engineering, Statistics	-272 kg	1307	221	0.2757	309 kg
0	1744 mph	1.5739	Chula Vista	Fresno, Moreno Valley	-0.2953	1019	1017	Bioengineering, Natural Language Processing	914 kg	-1085	720	None	623 kg
4	971 mph	0.972	Fresno	Los Angeles	2.5606	-289	4	Computer Engineering	1221 kg	150	337	0.7695	-570 kg
2	-86 mph	0.1231	San Diego	Stockton	1.2861	-179	2141	Bioinformatics	309 kg	-191	1755	-1.3007	-255 kg
4	472 mph	1.1944	Fresno	Los Angeles	1.2443	346	1953	Games and Playable Media, Robotics Engineering	-967 kg	1117	-951		-175 kg
1	451 mph	0.7545	Bakersfield	Riverside, Oakland, Irvine	2.1926	932	1045	Data Science, Computer Game Design, Biotechnology	99 kg	591	-1229	-0.0891	359 kg
0	585 mph	-0.7183	San Francisco	Chula Vista	0.2371	610	940	Bioengineering, Natural Language Processing	1529 kg	2282	173	-0.263	1764 kg
3	812 mph	0.7605	Riverside	Fremont	-0.2215	1546	-9	Computer Engineering	982 kg	-1486	958	1.9412	1736 kg
2	766 mph	-0.4502	San Diego	Santa Clarita	0.1891	1633	887	Bioinformatics	-764 kg	35	1135	-0.4337	1902 kg
2	1006 mph	-0.5943	San Diego	Stockton, Sacramento, Santa Ana	1.1172	2112	266	Bioinformatics	-374 kg	725	600	0.8955	1383 kg
3	-162 mph	1.4116	Los Angeles	Anaheim	0.1884	1379	551	Computer Engineering	-821 kg	336	-1727	N/A	1207 kg
2	-2251 mph	1.0268	San Diego	Santa Ana, Sacramento, Stockton	1.6221	42	-768	Bioinformatics	848 kg	585	238	0.0561	945 kg
0	-11 mph	0.7747	Santa Ana	Chula Vista	-0.3609	1805	124	Bioengineering	370 kg	92	729	0.8713	1251 kg
1	-114 mph	0.1803	Long Beach	Long Beach, Riverside	-0.6837	-227	1819	Electrical Engineering	-1273 kg	187	663	-0.6579	1377 kg
5	-253 mph	1.618	San Bernardino	San Bernardino, San Jose, Bakersfield	0.6703	474	1516	Computational Media, Applied Mathematics	-80 kg	-52	-1688	0.3912	654 kg
5	-205 mph	0.2261	Modesto	San Francisco, Bakersfield, San Bernardino	0.5579	1336	-748	Applied Mathematics, Computational Media	-65 kg	605	-372	1.2656	1700 kg
0	-569 mph	2.2855	Irvine	Chula Vista, Moreno Valley	-1.0587	2063	433	bioengineering	-325 kg	-564	-490	0.5718	2165 kg
2	292 mph	0.7669	San Diego	Santa Ana, Santa Clarita	2.2161	-1179	129	Bioinformatics	-109 kg	19	457	-0.7085	1092 kg
2	399 mph	0.761	San Diego	Stockton, Santa Clarita	0.6332	-318	1493	Bioinformatics	-232 kg	223	981	-0.4726	-451 kg
3	201 mph	1.2533	LOS ANGELES	Fremont	-1.961	-1324	1716	Computer Engineering	1180 kg	114	-390	-0.1071	-686 kg
0	586 mph	-0.3805	Chula Vista	Chula Vista, Fresno	-1.0497	79	1207	Bioengineering, Human Computer Interaction	-109 kg	169	495	0.7525	-3 kg
4	1020 mph	0.0583	Anaheim	San Diego	-1.1855	2214	545	Statistics, Games and Playable Media	349 kg	75	NULL	-0.1581	2437 kg
1	-328 mph	0.6448	Long Beach	Riverside, Irvine	1.3047	1179	1895	Biotechnology, Electrical Engineering	-564 kg	1999	169	-0.4139	107 kg
1	37 mph	-0.63	Bakersfield	Oakland	-0.3578	-175	69	Computer Game Design, Biotechnology, Data Science	-171 kg	1484	393	0.1096	2134 kg
5	227 mph	0.0275	Modesto	Bakersfield, San Francisco, San Bernardino	-0.3389	221	-612	Applied Mathematics	-819 kg	1216	-17	0.7426	1533 kg
3	793 mph	-1.628	San Jose	Fremont	1.4014	-708	-90	Computer Engineering	-408 kg	1125	-944	0.3964	53 kg
2	-197 mph	0.8877	San Diego	Sacramento, Santa Ana, Santa Clarita	-0.3622	609	2137	Computer Science	-849 kg	847	270	N/A	-1261 kg
4	1137 mph	1.6374	Stockton	San Diego	0.2682	2055	418	Robotics Engineering, Statistics	1511 kg	-60	1128	0.9607	229 kg
1	1776 mph	1.8745	Bakersfield	Irvine	1.2112	3207	1847	Data Science	321 kg	1322	344	1.1244	1990 kg
4	243 mph	1.0081	Oakland	Los Angeles	-0.4695	982	110	computer science	1752 kg	102	-71	1.5287	988 kg
5	2634 mph	-0.2541	San Bernardino	Fremont	0.8448	661	315	Applied Mathematics, Computational Media	-1097 kg	538	-1930	1.3382	1230 kg
0	697 mph	-0.965	Irvine	Fresno	1.5103	1596	255	Bioengineering, Human Computer Interaction	65 kg	-443	243	1.3398	151 kg
0	-656 mph	0.2532	Santa Clarita	Fresno	0.5031	-1041	-6	Human Computer Interaction	212 kg	904	334	-0.7923	1333 kg
1	-139 mph	-0.5255	Santa Ana	Long Beach, Riverside	3.4203	1641	1570	Electrical Engineering, Computer Game Design	146 kg	-491	-790	-0.3487	-633 kg
1	518 mph	N/A	Long Beach	Riverside, Oakland	-3.0896	992	1231	Data Science, Biotechnology	-1894 kg	302	-1468	1.0403	869 kg
3	1154 mph	-0.2444	Riverside	Anaheim	-0.2873	-453	728	Computer Engineering	452 kg	82	-234	0.1035	1038 kg
1	351 mph	1.3636	Fremont	Oakland, Long Beach, Irvine	0.1977	463	1461	Computational Media	411 kg	63	308	1.1476	954 kg
0	-356 mph	-1.431	Irvine	Fresno, Chula Vista	-0.548	1318	1490	Computational Media	-334 kg	910	1418	-0.1434	-126 kg
4	-393 mph	-1.1158	Stockton	Los Angeles	4.6514	1112	1480	Games and Playable Media	1205 kg	985	1067	0.0096	-489 kg
4	2203 mph	0.1395	Stockton	San Diego	0.5062	1535	721	Robotics Engineering, Statistics	?	444	80	None	-492 kg
1	745 mph	1.491	Long Beach	Oakland, Irvine, Riverside	0.0527	982	-512	Computer Game Design	733 kg	631	-1202	-0.5026	284 kg
1	3194 mph	3.0938	SAN JOSE	Irvine, Long Beach, Oakland	-0.4332	2104	2862	Data Science	677 kg	826	-771	0.0257	-712 kg
5	1171 mph	0.7252	Modesto	Bakersfield, San Francisco, San Jose	1.2913	-1374	-218	Applied Mathematics	-1461 kg	1062	403	0.2923	-888 kg
3	-675 mph	0.2844	San Jose	Riverside, Oakland, Irvine	-1.2311	244	-3142	Computer Engineering	-305 kg	-550	945	1.2628	532 kg
1	447 mph	-0.1588	Santa Ana	Riverside, Irvine	-0.3336	1591	832	cOMPUTATIONAL mEDIA, aPPLIED mATHEMATICS	-556 kg	-1372	-151	-1.8285	242 kg
1	1424 mph	-0.2376		Irvine, Riverside	1.2898	1778	1930	Data Science	-658 kg	157	-726	-0.7116	1947 kg
4	923 mph	0.6372	Fresno	Los Angeles	2.251	2089	1440	Robotics Engineering, Games and Playable Media	206 kg	-140	1462	0.8544	792 kg
3	-368 mph	0.0107	Riverside	Anaheim	0.4928	-717	218	Computer Engineering	2315 kg	-157	557	2.0342	1558 kg
2	1126 mph	2.1117	San Diego	Stockton, Sacramento, Santa Clarita	1.4202	-130	935	Computer Science	-539 kg	1294	903	-1.1214	2067 kg
0	877 mph	-1.0211	Irvine	Fresno, Chula Vista	-0.3417	637	2240	Bioengineering, Human Computer Interaction	185 kg	1070	-551	0.2202	562 kg
4	1410 mph	2.0552	Anaheim	Los Angeles	2.2712	1606	-159	Robotics Engineering	1164 kg	1177	-1988	0.3469	530 kg
4	762 mph	1.1765	San Diego	Los Angeles	2.2334	1291	81	Games and Playable Media, Robotics Engineering	847 kg	713	-1462	0.0269	-497 kg
0	711 mph	0.0502	San Francisco	Fremont	-0.5795	543	1246	Bioengineering	-1539 kg	-83	1005	-0.9276	284 kg
0	1741 mph	-1.1854	Sacramento	Moreno Valley, Fresno	-0.6601	1770	1180	Human Computer Interaction, Natural Language Processing	2066 kg	428	-297	0.5816	-585 kg
3	-97 mph	0.6867	San Jose	Anaheim	-0.0195	1645	264	Computer Engineering	2153 kg	-370	-605	0.5866	647 kg
0	1227 mph	0.5838	San Francisco	OAKLAND, LONG BEACH	?	939	1271	Bioengineering, Human Computer Interaction	33 kg	1527	-898	0.6662	708 kg
3	-158 mph	1.8385	San Jose	Fremont	-0.9213	919	997	Computer Engineering	-339 kg	288	-187	1.8314	942 kg
3	79 mph	1.4822	Los Angeles	Anaheim	-0.4114	-1244	-1477	Computer Engineering	-47 kg	-144	-1367	0.8234	872 kg
5	867 mph	1.3386	Moreno Valley	San Jose, Bakersfield		2025	262	Computational Media, Technology And Information Management	345 kg	666	172	1.4644	-340 kg
5	191 mph	-0.0906	Modesto	San Jose, Bakersfield	0.4844	647	-947	Technology and Information Management, Computational Media	911 kg	1095	-1564	1.4545	571 kg
0	1892 mph	1.2912	Irvine	FRESNO, MORENO VALLEY	0.4528	929	1814	Human Computer Interaction, Bioengineering	-965 kg	134	-607	-0.8805	211 kg
0	272 mph	2.4205	Sacramento	fRESNO, mORENO vALLEY	-1.418	1958	1153	Human Computer Interaction, Bioengineering	-465 kg	868	1517	-0.5895	61 kg
1	1060 mph	1.3486	Santa Ana	Oakland, Irvine	-0.543	2265	1339	Biotechnology	-316 kg	606	612	0.6535	-443 kg
5	1581 mph	-0.6317	Stockton	San Jose, San Francisco	1.05	479	1081	Applied Mathematics	54 kg	691	838	2.0476	354 kg
4	223 mph	0.9613	Fresno	San Diego	0.5273	592	955	Games and Playable Media, Statistics	1188 kg	-85	264	-1.157	1293 kg
3	371 mph	0.8894	Los Angeles	Anaheim	0.1738	-1207	1798	Computer Engineering	-876 kg	773	1227	-0.8194	94 kg
5	475 mph	0.1242	San Bernardino	San Jose, Bakersfield	2.4294	336	-1139	Computational Media, Applied Mathematics	-1924 kg	NULL	595	1.7087	896 kg
4	460 mph	0.3666	fRESNO	San Diego	1.3092	2202	572	Games and Playable Media, Robotics Engineering	1121 kg	297	-1105	1.3924	2075 kg
2	217 mph	-0.7963	San Diego	Modesto, Stockton, Santa Clarita, Sacramento	1.7544	968	2590	Bioinformatics	-1762 kg	-203	2604	-0.7642	1173 kg
1	-159 mph	2.1537	Long Beach	Irvine, Long Beach	1.3502	1325	-393	Data Science	-465 kg	420	-1135	-1.4829	1333 kg
4	452 mph	-0.1375	Oakland	San Diego	1.7315	936	1643	Games and Playable Media, Statistics	845 kg	1577	345	-0.608	-45 kg
0	223 mph	-1.2877	Irvine	Fresno	-1.5501	-106	1194	Human Computer Interaction, Natural Language Processing	135 kg	467	-570	-0.1529	97 kg
2	167 mph	2.3909	San Diego	Santa Ana, Stockton, Santa Clarita	0.2427	1311	969	Bioinformatics	-797 kg	152	1578	-2.8204	1507 kg
3	278 mph	-0.1801	Los Angeles	Fremont	None	726	-401	Computer Engineering	-202 kg	780	-210	-0.3872	258 kg
1	-10 mph	-1.657	bakersfield	Oakland, Riverside	0.2275	-335	2299	Biotechnology	258 kg	1487	-135	-0.3374	562 kg
4	1310 mph	-0.7127	Anaheim	Los Angeles	2.2141	609	1574	Statistics, Robotics Engineering	1402 kg	247	1390	0.6593	3 kg
3	565 mph	1.6475	Los Angeles	Anaheim	0.7272	-789	-532	Computer Engineering	1004 kg	-238	-1136	0.5512	1614 kg
5	2330 mph	1.5295	San Francisco	San Bernardino, San Francisco, Bakersfield	-0.2977	1389	93	Computational Media	1204 kg	610	-1061	1.5188	1373 kg
2	670 mph	1.5626	San Diego	Fresno	-0.1597	301	-56	Bioinformatics	-1278 kg	-639	1780	-0.6445	-866 kg
3	-1010 mph	1.8455	Riverside	Fremont	0.1414	889	-67	Computer Engineering	137 kg	465	255	0.749	1584 kg
3	894 mph	1.7605	Los Angeles	Fremont	-2.082	1214	896	Computer Engineering	-496 kg	1319	-1391	1.4515	?
0	1106 mph	-0.1333	Santa Clarita	Los Angeles	-0.3589	1799	2089	Bioengineering	2177 kg	1044	368	-0.6216	-918 kg
4	-553 mph	0.679	Anaheim	Los Angeles	2.3631	342	-596	robotics engineering, statistics	2181 kg	186	1373	-0.1543	-198 kg
0	1747 mph	0.5796	San Francisco	Fresno	-0.2507	874	995	Natural Language Processing	-77 kg	-894	920	0.2923	312 kg
5	1956 mph	-0.4204	San Diego	Bakersfield	-0.4753	1395	1332	Applied Mathematics	-376 kg	390	1130	2.2776	-508 kg
5	-219 mph	2.236	Modesto	San Bernardino, Bakersfield, San Francisco	-0.0256	483	-1182	Technology and Information Management, Applied Mathematics	223 kg	809	-621	0.5958	162 kg
5	680 mph	1.6217	San Bernardino	San Bernardino, San Francisco	2.2502	1023	591	Applied Mathematics, Computational Media	386 kg	-354	-43	0.6878	1644 kg
5	774 mph	2.0872	Modesto	San Jose, San Francisco	1.0639	201	1717	Computational Media, Applied Mathematics	-1494 kg	-284	-354	1.7276	-1806 kg
1	312 mph	0.9229	Santa Ana	Moreno Valley, Fresno	-0.1661	944	1812	Electrical Engineering, Data Science, Computer Game Design	-149 kg	-445	1050	0.1243	-227 kg
0	1299 mph	1.5975	Santa Clarita	Fresno	0.9993	1176	1813	Human Computer Interaction	1727 kg	1340	188	-2.0722	-76 kg
4	1421 mph	-0.028	Oakland	Los Angeles	0.6411	231	289	Statistics, Robotics Engineering	1398 kg	-375	109	-0.2729	-797 kg
1	-600 mph	2.0628	Bakersfield	Riverside, Oakland	-0.2234	745	1211	Biotechnology	1158 kg	-48	470	0.2616	-1336 kg
4	957 mph	-0.1051	ANAHEIM	Los Angeles	1.0321	105	620	Robotics Engineering, Games and Playable Media	1448 kg	-153	-1035	0.3825	671 kg
3	1101 mph	1.108	Riverside	Fremont	1.4561	-349	696	Computer Engineering	-161 kg	1344	-657	0.2392	1005 kg
0	562 mph	0.5353	Chula Vista	Chula Vista	-0.4243	158	77	Bioengineering	474 kg	238	-654	0.0652	-1026 kg
2	0 mph	0.732	San Diego	Santa Clarita	-0.4556	-68	2207	Bioinformatics	-1264 kg	770	923	0.393	501 kg
2	442 mph	0.2929	San Diego	?	3.0317	705	-219	Bioinformatics	-965 kg	891	-338	-0.3315	-204 kg
0	-706 mph	-1.2773	Sacramento	Chula Vista, Moreno Valley	-0.3224	1401	31	Human Computer Interaction, Natural Language Processing	788 kg	383	-2209	1.7598	972 kg
3	-61 mph	1.8679	Los Angeles	fresno, chula vista	1.6497	506	1033	Computer Engineering	-765 kg	551	-689	1.6103	703 kg
0	2045 mph	1.8889	Irvine	Stockton, Modesto, Sacramento	-0.9543	889	2959	Human Computer Interaction, Natural Language Processing	621 kg	269	1085	-0.1154	188 kg
5	1175 mph	0.6696	sAN bERNARDINO	San Bernardino, Bakersfield, San Jose	-1.1996	-363	828	Computational Media	660 kg	672	421	0.0466	2139 kg
4	1456 mph	1.9636	Anaheim	Los Angeles	-0.1494	522	442	Games and Playable Media	-218 kg	1785	635	2.2182	668 kg
4	1162 mph	1.0618	Anaheim	San Diego	1.4239	2106	-311	Games and Playable Media, Statistics	2075 kg	479	687	-0.2665	-194 kg
5	383 mph	0.9231	Moreno Valley	San Jose	2.4383	245	985	Technology and Information Management, Applied Mathematics	718 kg	-316	597	0.9723	401 kg
0	1609 mph	-0.2081	San Francisco	Fresno, Chula Vista	0.9652	1290	577	Bioengineering	-1126 kg	211	133	-0.3018	951 kg
1	-210 mph	0.0583	Bakersfield	Riverside, Irvine, Long Beach	-0.2373	1045	313	Biotechnology, Computer Game Design	-247 kg	21	-441	-0.2789	1095 kg
1	141 mph	1.147	Long Beach	Irvine, Oakland, Long Beach	0.6904	1847	1889	Data Science, Electrical Engineering, Computer Game Design	103 kg	-492	862	0.8358	-185 kg
4	799 mph	-1.6279	Fresno	San Diego	-0.5781	758	416	Games and Playable Media, Statistics	796 kg	466	1300	2.2319	1941 kg
1	858 mph	-0.2739	Bakersfield	Oakland, Long Beach, Riverside	-0.4409	2138	?	Computer Game Design	122 kg	-692	-1273	-1.4672	1784 kg
3	379 mph	-0.8614	Riverside	Anaheim	0.1914	886	598	Computer Engineering	134 kg	956	-314	0.7911	376 kg
3	938 mph	1.2746	Los Angeles	Fremont	0.6185	-40	-1292	COMPUTER ENGINEERING	447 kg	1004	-1470	-0.1451	-5 kg
0	-1257 mph	1.4057	Santa Clarita	Los Angeles	0.1867	-201	0	Human Computer Interaction	469 kg	-542	889	0.7554	332 kg
3	1794 mph	0.9678	Los Angeles	Los Angeles	0.0929	1060	251	computer engineering	-639 kg	1042	-1561	2.1235	778 kg
0	1845 mph	0.6004	Sacramento	Moreno Valley	-1.3778	919	165	BIOINFORMATICS	351 kg	917	-923	-0.5866	805 kg
0	-870 mph	0.4782	San Francisco	Moreno Valley, Chula Vista	-0.4605	1057	494	Natural Language Processing, Human Computer Interaction	1071 kg	366	-315	-0.1922	1031 kg
5	1086 mph	0.2159	San Bernardino	San Bernardino	1.3093	661	-1984	Technology and Information Management, Computational Media	426 kg	723	1073	1.4194	1000 kg
2	1095 mph	0.3264	San Diego	Santa Clarita, Sacramento	0.4093	2071	199	Computer Science	-1034 kg	862	None	0.3952	1923 kg
2	991 mph	2.1647	San Diego	Stockton, Modesto, Santa Clarita, Sacramento	0.9636	50	1680	Computer Science	-971 kg	-595	-1219	-0.9029	1421 kg
0	429 mph	1.7177	San Francisco	Fresno, Chula Vista	-1.6598	1381	1310	Natural Language Processing, Bioengineering	1127 kg	260	455	-0.6854	1423 kg
5	715 mph	-0.0406	Modesto	San Jose, San Bernardino	-0.0605	626	-696	TECHNOLOGY AND INFORMATION MANAGEMENT, APPLIED MATHEMATICS	1108 kg	261	-657	1.5577	1060 kg
4	2072 mph	-0.511	Fresno	Modesto, Santa Ana, Santa Clarita, Stockton	2.0041	943	2041	Robotics Engineering	1699 kg	-580	250	1.5254	N/A
1	-204 mph	0.6864	Long Beach	Oakland, Irvine, Riverside	0.9304	1504	287	Electrical Engineering	1258 kg	515	-700	0.5894	1346 kg
0	164 mph	-1.1546	Irvine	Moreno Valley	0.6622	1241	-751	Natural Language Processing	-326 kg	1521	-541	0.373	-736 kg
4	293 mph	-0.3385	Anaheim	San Diego	0.1731	1565	1062	Robotics Engineering	-263 kg	626	-284	0.3628	1003 kg
5	766 mph	0.6936	San Bernardino	San Francisco	0.5381	1666	610	Technology and Information Management, Applied Mathematics	858 kg	-160	-411	0.1032	-371 kg
3	541 mph	1.288	San Jose	Fremont	0.6655	622	-1484	Computer Engineering	-216 kg	151	-571	1.7464	-140 kg
0	-30 mph	1.3285	San Francisco	Fresno, Chula Vista	-0.1327	685	-257	Human Computer Interaction, Bioengineering	454 kg	946	-67	-0.4073	-712 kg
0	-404 mph	1.3996	Irvine	Moreno Valley	0.7775	852	893	Computer Engineering	-466 kg	579	129	1.3633	-240 kg
2	251 mph	0.8666	San Diego	Modesto	0.0504	666	438	Computer Science	1561 kg	1546	488	0.274	-761 kg
0	-448 mph	-0.7463	Irvine	Chula Vista, Moreno Valley	-1.9345	353	1304	Bioengineering	-791 kg	474	1017	0.6907	970 kg
5	1634 mph	0.4518	Modesto	Bakersfield	1.6772	-630	98	Computational Media, Technology and Information Management	-386 kg	-76	-800	0.5304	769 kg
4	889 mph	-0.0809	Anaheim	?	0.6057	645	-170	Robotics Engineering	-609 kg	525	596	-0.436	1306 kg
1	985 mph	1.87	Long Beach	Oakland, Long Beach, Riverside	1.1216	-537	-51	Statistics	-409 kg	524	-499	0.0083	-417 kg
5	1130 mph	-0.6886	Moreno Valley	San Jose, San Bernardino	-1.0297	944	923	Computational Media	458 kg	929	1533	1.3182	-77 kg
5	-51 mph	0.8834	San Bernardino	San Jose	1.2173	-816	-701	Computational Media, Technology and Information Management	-806 kg	287	109	0.6899	-936 kg
5	-202 mph	0.6323	Moreno Valley	Bakersfield, San Jose	2.1678	-147	868	Applied Mathematics	549 kg	270	1122	0.7657	363 kg
2	-699 mph	2.1707	San Diego	Sacramento	2.2833	276	-868	cOMPUTER sCIENCE	-1569 kg	-312	589	1.0765	-901 kg
5	-401 mph	1.4278	San Bernardino	San Francisco, San Bernardino	-0.6657	566	623	Computational Media, Applied Mathematics	-235 kg	1146	-99	1.6742	-251 kg
1	1406 mph	-0.185	Long Beach	Anaheim	-0.2226	741	506	Biotechnology	-628 kg	387	784	1.1421	272 kg
1	879 mph	0.0835	Santa Ana	Oakland	-0.1681	-230	1045	Electrical Engineering, Computer Game Design, Biotechnology	2671 kg	1075	2	1.0481	-636 kg
5	-507 mph	-0.1694	Modesto	San Jose, San Francisco	0.7655	524	-500	Robotics Engineering	-480 kg	1194	-341	-0.125	72 kg
0	608 mph	-0.6748	Santa Clarita	Chula Vista	-0.9278	1569	308	Data Science	-70 kg	1143	1136	1.5765	973 kg
3	1712 mph	1.0273	Riverside	Fremont	1.4566	127	1100	Computer Engineering	1355 kg	-324	-1292	0.4645	175 kg
5	2149 mph	1.0788	Moreno Valley	Fremont	1.5735	27	-431	Technology and Information Management	708 kg	-140	452	0.2352	413 kg
4	175 mph	-0.7641	Anaheim	Los Angeles	0.4119	1929	N/A	Robotics Engineering, Statistics	799 kg	289	108	2.2891	735 kg
2	716 mph	0.27	San Diego	Stockton	1.2221	107	500	Human Computer Interaction, Natural Language Processing	644 kg	-100	106	0.7365	670 kg
5	805 mph	0.935	San Bernardino	Bakersfield, San Bernardino, San Jose	1.5106	579	-675	Applied Mathematics	-1086 kg	1666	-453	0.8218	1127 kg
2	-578 mph	3.2064	San Diego	Modesto, Stockton, Santa Clarita, Santa Ana	1.6956	760	1113	Data Science, Biotechnology	429 kg	1015	887	2.5554	-896 kg
4	-174 mph	1.2902	Stockton	San Diego	0.0608	1858	995	Robotics Engineering	1015 kg	704	1191	1.2898	-1158 kg
0	473 mph	0.3101	Chula Vista	Chula Vista	-0.9205	1764	1022	Natural Language Processing, Human Computer Interaction	491 kg	1140	708	0.0524	-341 kg
4	1534 mph	0.8098	Anaheim	Los Angeles	0.5337	19	1512	Games and Playable Media, Statistics	1557 kg	1165	N/A	1.8282	597 kg
4	-350 mph	-1.8165	Stockton	San Diego	1.5655	1241	203	Games and Playable Media	1226 kg	523	662	0.9328	1991 kg
4	1160 mph	0.6047	Stockton	Los Angeles	1.0865	1177	-833	Games and Playable Media, Statistics	1151 kg	367	455	1.396	377 kg
0	308 mph	3.0195	Sacramento	Fresno, Moreno Valley	-0.6068	-152	582	Natural Language Processing, Bioengineering	-1086 kg	1935	-1526	-0.6881	-560 kg
2	17 mph	1.5172	San Diego	Sacramento, Santa Clarita, Modesto, Santa Ana	0.4903	0	890	Computer Engineering	-1451 kg	-403	228	-0.7558	-459 kg
1	-279 mph	0.9304	Santa Ana	Oakland, Riverside, Irvine	2.0056	251	152	Electrical Engineering, Computer Game Design, Biotechnology	-257 kg	1	-1374	0.669	1312 kg
2	187 mph	0.1761	San Diego	Santa Clarita, Sacramento, Stockton, Santa Ana	1.6978	-928	1340	Computer Science	-48 kg	-175	957	-0.7159	1213 kg
2	-323 mph	2.0861	San Diego	Stockton, Modesto, Santa Clarita	2.9274	-1571	481	Computer Science	225 kg	654	1278	-0.014	1427 kg
0	915 mph	-0.033	Moreno Valley	San Diego	-1.3285	-114	1951	Computer Engineering	-506 kg	273	1597	-0.7655	-784 kg
2	8 mph	1.9292	San Diego	Santa Clarita, Sacramento, Stockton	-1.133	-911	3105	Computer Science	54 kg	156	1734	-0.5585	-270 kg
1	1088 mph	1.5121	Fremont	Long Beach		2002	1726	Data Science, Computer Game Design, Biotechnology	133 kg	-280	-404	-0.8083	-43 kg
4	-144 mph	0.0354	Oakland	Los Angeles	-0.4044	1467	23	Robotics Engineering, Statistics	341 kg	1241	1339	1.6988	-309 kg
2	690 mph	1.127	San Diego	Sacramento	1.443	663	354	Bioinformatics	325 kg	760	295	1.353	-518 kg
2	599 mph	0.5817	San Diego	Modesto, Stockton, Sacramento	None	782	1729	Computer Engineering	371 kg	850	629	0.1001	474 kg
4	-597 mph	0.42	Anaheim	San Diego	-0.5037	1160	1245	Statistics, Games and Playable Media	1447 kg	100	652	0.7283	-75 kg
4	694 mph	1.1916	fresno	Los Angeles	2.4265	1570	882	Statistics, Games and Playable Media	2898 kg	720	575	0.9153	777 kg
3	269 mph	0.4462	Los Angeles	Fremont	-0.9265	-1089	-337	Computer Engineering	-462 kg	574	-830	N/A	235 kg
1	760 mph	1.7366	Riverside	Irvine, Oakland, Long Beach	0.1822	727	1043	Biotechnology	493 kg	1270	164	0.1981	-1617 kg
2	1232 mph	2.7959	San Diego	Sacramento, Stockton, Modesto, Santa Clarita	0.5848	1226	935	Bioinformatics	-664 kg	651	215	-0.6329	-83 kg
3	227 mph	-0.2961	san jose	Fremont	0.8813	929	-910	Computer Engineering	-452 kg	830	408	2.2852	2236 kg
2	700 mph	0.939	San Diego	Sacramento, Santa Clarita, Santa Ana, Stockton	0.721	90	439	Bioinformatics	-127 kg	1525	926	0.5064	1355 kg
